Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;226;226
2;221;223
3;198;215
4;214;214
5;228;217
6;208;215
7;226;217
8;211;216
9;218;216
10;196;214
11;212;214
12;223;215
13;203;214
14;212;214
15;684;245
16;207;242
17;304;246
18;206;244
19;702;268
20;197;264
21;218;262
22;221;260
23;689;279
24;220;276
25;203;273
26;208;271
27;673;286
28;205;283
29;245;282
30;205;279
31;699;292
32;195;289
33;214;287
34;222;285
35;690;297
36;219;295
37;201;292
38;210;290
39;708;301
40;206;298
41;224;296
42;202;294
43;693;303
44;225;302
45;208;299
46;219;298
47;681;306
48;210;304
49;226;302
50;205;300
51;702;308
52;202;306
53;222;305
54;192;302
55;689;309
56;219;308
57;204;306
58;216;304
59;679;311
60;213;309
61;226;308
62;214;306
63;699;312
64;202;311
65;217;309
66;194;308
67;503;310
68;221;309
69;210;308
70;215;306
71;202;305
72;206;303
73;223;302
74;201;301
75;219;300
76;196;299
77;213;297
78;226;296
79;209;295
80;221;294
81;209;293
82;212;292
83;201;291
84;205;290
85;223;289
86;204;288
87;232;288
88;192;287
89;214;286
90;224;285
91;206;284
92;217;284
93;201;283
94;210;282
95;231;281
96;210;281
97;224;280
98;202;279
99;216;279
100;225;278
101;209;277
102;213;277
103;202;276
104;207;275
105;222;275
106;201;274
107;216;274
108;196;273
109;212;272
110;220;272
111;205;271
112;227;271
113;195;270
114;220;270
115;223;269
116;204;269
117;223;268
118;194;268
119;213;267
120;225;267
121;207;266
122;221;266
123;204;265
124;215;265
125;197;264
126;207;264
127;744;268
128;207;267
129;224;267
130;196;266
131;215;266
132;192;265
133;213;265
134;218;265
135;198;264
136;208;264
137;244;264
138;204;263
139;221;263
140;194;262
141;212;262
142;222;262
143;206;261
144;219;261
145;204;261
146;212;260
147;229;260
148;206;260
149;223;260
150;203;259
151;218;259
152;198;258
153;214;258
154;221;258
155;206;258
156;216;257
157;203;257
158;211;257
159;198;256
160;211;256
161;221;256
162;213;256
163;222;255
164;210;255
165;691;258
166;226;257
167;207;257
168;219;257
169;686;259
170;215;259
171;197;259
172;213;259
173;675;261
174;209;261
175;224;260
176;1153;266
177;693;268
178;193;268
179;216;267
180;225;267
181;688;269
182;215;269
183;195;269
184;206;268
185;700;271
186;201;270
187;217;270
188;193;270
189;690;272
190;220;271
191;215;271
192;213;271
193;675;273
194;209;273
195;224;272
196;203;272
197;697;274
198;198;274
199;216;273
200;222;273
201;689;275
202;218;275
203;202;275
204;213;274
205;675;276
206;205;276
207;219;276
208;200;275
209;689;277
210;221;277
211;212;277
212;233;276
213;682;278
214;207;278
215;224;278
216;202;277
217;699;279
218;206;279
219;211;279
220;223;278
221;686;280
222;213;280
223;198;280
224;206;279
225;704;281
226;202;281
227;221;281
228;209;280
229;216;280
230;218;280
231;204;279
232;214;279
233;227;279
234;202;279
235;223;278
236;200;278
237;221;278
238;196;277
239;210;277
240;220;277
241;206;277
242;219;276
243;210;276
244;210;276
245;229;276
246;199;275
247;218;275
248;195;275
249;214;274
250;224;274
251;205;274
252;216;274
253;206;273
254;215;273
255;196;273
256;207;273
257;223;272
258;199;272
259;218;272
260;213;272
261;215;272
262;219;271
263;205;271
264;213;271
265;198;271
266;204;270
267;229;270
268;218;270
269;221;270
270;201;270
271;215;269
272;225;269
273;212;269
274;220;269
275;202;269
276;216;268
277;229;268
278;205;268
279;226;268
280;201;268
281;224;267
282;228;267
283;206;267
284;219;267
285;204;267
286;213;266
287;229;266
288;203;266
289;220;266
290;194;266
291;218;266
292;191;265
293;216;265
294;208;265
295;225;265
296;201;265
297;213;264
298;223;264
299;204;264
300;216;264
301;197;264
302;206;263
303;226;263
304;200;263
305;216;263
306;237;263
307;2166;269
308;1394;273
309;930;275
310;1544;279
311;701;280
312;222;280
313;213;280
314;222;280
315;202;279
316;212;279
317;229;279
318;214;279
319;221;279
320;197;278
321;696;280
322;239;280
323;209;279
324;219;279
325;676;280
326;208;280
327;224;280
328;202;280
329;694;281
330;195;281
331;209;281
332;218;280
333;685;282
334;206;281
335;222;281
336;205;281
337;699;282
338;191;282
339;210;282
340;222;282
341;678;283
342;208;282
343;227;282
344;198;282
345;699;283
346;221;283
347;201;283
348;216;283
349;673;284
350;202;284
351;217;283
352;198;283
353;692;284
354;237;284
355;209;284
356;216;284
357;676;285
358;200;285
359;219;284
360;197;284
361;686;285
362;219;285
363;201;285
364;212;285
365;710;286
366;198;286
367;223;285
368;192;285
369;688;286
370;220;286
371;203;286
372;220;286
373;2893;293
374;231;292
375;193;292
376;208;292
377;218;292
378;199;292
379;206;291
380;225;291
381;197;291
382;690;292
383;221;292
384;201;292
385;212;291
386;676;292
387;202;292
388;216;292
389;225;292
390;685;293
391;215;293
392;198;292
393;208;292
394;702;293
395;195;293
396;212;293
397;219;292
398;686;293
399;208;293
400;225;293
401;204;293
402;695;294
403;207;294
404;210;293
405;217;293
406;679;294
407;206;294
408;218;294
409;195;294
410;690;294
411;219;294
412;198;294
413;212;294
414;699;295
415;199;295
416;219;294
417;226;294
418;687;295
419;215;295
420;197;295
421;210;295
422;701;296
423;1139;298
424;222;297
425;234;297
426;229;297
427;212;297
428;222;297
429;224;296
430;216;296
431;207;296
432;206;296
433;226;296
434;201;295
435;215;295
436;223;295
437;208;295
438;214;295
439;199;295
440;210;294
441;219;294
442;200;294
443;217;294
444;218;294
445;203;293
446;213;293
447;226;293
448;204;293
449;231;293
450;224;293
451;207;292
452;218;292
453;202;292
454;208;292
455;701;293
456;195;293
457;214;292
458;220;292
459;680;293
460;210;293
461;232;293
462;206;293
463;693;293
464;194;293
465;204;293
466;216;293
467;676;294
468;207;293
469;226;293
470;198;293
471;211;293
472;222;293
473;215;293
474;196;292
475;216;292
476;222;292
477;203;292
478;213;292
479;220;292
480;205;291
481;213;291
482;225;291
483;199;291
484;213;291
485;222;291
486;204;290
487;216;290
488;199;290
489;206;290
490;226;290
491;191;290
492;209;289
493;222;289
494;202;289
495;215;289
496;200;289
497;334;289
498;222;289
499;202;289
500;230;288
501;225;288
502;205;288
503;213;288
504;199;288
505;205;288
506;221;288
507;201;287
508;213;287
509;222;287
510;204;287
511;217;287
512;227;287
513;737;288
514;224;287
515;193;287
516;217;287
517;223;287
518;215;287
519;211;287
520;225;287
521;200;286
522;215;286
523;192;286
524;216;286
525;233;286
526;200;286
527;217;286
528;197;285
529;206;285
530;227;285
531;199;285
532;214;285
533;229;285
534;206;285
535;217;284
536;201;284
537;207;284
538;231;284
539;206;284
540;221;284
541;192;284
542;211;283
543;219;283
544;200;283
545;213;283
546;230;283
547;202;283
548;223;283
549;198;283
550;220;282
551;214;282
552;199;282
553;209;282
554;221;282
555;194;282
556;217;282
557;225;282
558;202;281
559;220;281
560;200;281
561;205;281
562;224;281
563;201;281
564;220;281
565;194;280
566;214;280
567;241;280
568;206;280
569;210;280
570;196;280
571;205;280
572;223;280
573;203;280
574;217;279
575;192;279
576;213;279
577;229;279
578;200;279
579;218;279
580;197;279
581;206;279
582;223;278
583;190;278
584;213;278
585;217;278
586;205;278
587;214;278
588;197;278
589;213;278
590;223;277
591;202;277
592;228;277
593;197;277
594;210;277
595;226;277
596;203;277
597;213;277
598;199;277
599;209;276
600;224;276
601;203;276
602;228;276
603;191;276
604;212;276
605;225;276
606;199;276
607;214;276
608;225;276
609;208;275
610;226;275
611;202;275
612;215;275
613;225;275
614;711;276
615;217;276
616;229;276
617;204;275
618;226;275
619;198;275
620;215;275
621;223;275
622;208;275
623;216;275
624;201;275
625;211;275
626;223;275
627;208;274
628;217;274
629;224;274
630;205;274
631;216;274
632;192;274
633;205;274
634;224;274
635;201;274
636;214;274
637;228;273
638;203;273
639;215;273
640;207;273
641;210;273
642;224;273
643;201;273
644;217;273
645;229;273
646;208;273
647;214;273
648;223;272
649;204;272
650;221;272
651;195;272
652;224;272
653;223;272
654;204;272
655;212;272
656;195;272
657;202;272
658;218;271
659;195;271
660;211;271
661;220;271
662;201;271
663;1076;272
664;244;272
665;206;272
666;221;272
667;195;272
668;216;272
669;220;272
670;200;272
671;214;272
672;198;271
673;204;271
674;220;271
675;197;271
676;690;272
677;226;272
678;200;272
679;221;272
680;675;272
681;211;272
682;220;272
683;196;272
684;691;272
685;220;272
686;203;272
687;212;272
688;678;273
689;209;273
690;225;273
691;199;273
692;693;273
693;223;273
694;210;273
695;218;273
696;680;273
697;208;273
698;222;273
699;200;273
700;693;274
701;193;274
702;208;274
703;219;274
704;675;274
705;206;274
706;236;274
707;198;274
708;690;274
709;226;274
710;205;274
711;221;274
712;678;275
713;209;275
714;224;275
715;736;275
716;219;275
717;227;275
718;202;275
719;216;275
720;227;275
721;197;275
722;214;275
723;223;275
724;207;274
725;217;274
726;197;274
727;207;274
728;223;274
729;203;274
730;214;274
731;206;274
732;208;274
733;222;274
734;201;274
735;211;273
736;207;273
737;207;273
738;229;273
739;205;273
740;218;273
741;195;273
742;210;273
743;216;273
744;203;273
745;213;273
746;198;273
747;204;272
748;224;272
749;201;272
750;215;272
751;194;272
752;205;272
753;212;272
754;196;272
755;204;272
756;234;272
757;198;272
758;216;272
759;223;271
760;214;271
761;216;271
762;218;271
763;214;271
764;194;271
765;205;271
766;220;271
767;199;271
768;218;271
769;193;271
770;210;271
771;216;270
772;206;270
773;210;270
774;199;270
775;204;270
776;221;270
777;195;270
778;215;270
779;220;270
780;209;270
781;214;270
782;200;270
783;223;270
784;209;269
785;216;269
786;222;269
787;209;269
788;215;269
789;201;269
790;200;269
791;205;269
792;223;269
793;199;269
794;213;269
795;222;269
796;205;269
797;216;269
798;194;268
799;208;268
800;222;268
801;198;268
802;217;268
803;196;268
804;211;268
805;218;268
806;202;268
807;210;268
808;208;268
809;204;268
810;219;268
811;195;267
812;214;267
813;219;267
814;684;268
815;215;268
816;228;268
817;205;268
818;700;268
819;195;268
820;214;268
821;225;268
822;682;268
823;215;268
824;198;268
825;204;268
826;703;269
827;200;269
828;217;269
829;224;269
830;688;269
831;219;269
832;277;269
833;217;269
834;702;269
835;213;269
836;220;269
837;195;269
838;687;270
