Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;267;267
2;254;260
3;213;244
4;277;252
5;206;243
6;262;246
7;229;244
8;258;245
9;220;242
10;276;246
11;210;242
12;249;243
13;236;242
14;237;242
15;327;248
16;197;244
17;279;246
18;231;246
19;255;246
20;222;245
21;279;246
22;208;245
23;263;245
24;234;245
25;253;245
26;218;244
27;277;245
28;211;244
29;267;245
30;230;244
31;255;245
32;222;244
33;276;245
34;208;244
35;267;244
36;232;244
37;257;244
38;216;244
39;281;245
40;206;244
41;265;244
42;229;244
43;259;244
44;216;243
45;272;244
46;234;244
47;258;244
48;223;244
49;283;244
50;214;244
51;268;244
52;233;244
53;256;244
54;220;244
55;276;244
56;209;244
57;263;244
58;226;244
59;284;244
60;218;244
61;273;244
62;228;244
63;269;245
64;226;244
65;296;245
66;212;245
67;274;245
68;234;245
69;261;245
70;223;245
71;297;245
72;213;245
73;273;245
74;233;245
75;256;245
76;220;245
77;273;245
78;210;245
79;262;245
80;228;245
81;251;245
82;216;245
83;273;245
84;204;244
85;259;245
86;219;244
87;279;245
88;213;244
89;294;245
90;210;245
91;263;245
92;230;245
93;254;245
94;222;244
95;278;245
96;211;244
97;262;245
98;230;244
99;258;245
100;222;244
101;280;245
102;207;244
103;262;244
104;230;244
105;285;245
106;217;244
107;270;245
108;238;245
109;260;245
110;228;245
111;286;245
112;216;245
113;314;245
114;237;245
115;257;245
116;221;245
117;295;246
118;210;245
119;262;245
120;233;245
121;257;245
122;220;245
123;276;245
124;207;245
125;263;245
126;228;245
127;254;245
128;217;245
129;271;245
130;236;245
131;261;245
132;230;245
133;281;245
134;217;245
135;275;245
136;226;245
137;262;245
138;225;245
139;269;245
140;216;245
141;275;245
142;235;245
143;268;245
144;226;245
145;279;245
146;215;245
147;270;245
148;235;245
149;260;245
150;222;245
151;279;245
152;211;245
153;264;245
154;236;245
155;255;245
156;219;245
157;271;245
158;205;245
159;262;245
160;231;245
161;250;245
162;212;245
163;274;245
164;729;248
165;274;248
166;225;248
167;277;248
168;213;248
169;277;248
170;233;248
171;252;248
172;224;248
173;277;248
174;207;248
175;268;248
176;233;248
177;256;248
178;221;248
179;280;248
180;211;248
181;270;248
182;233;248
183;254;248
184;219;248
185;278;248
186;210;248
187;266;248
188;230;248
189;275;248
190;219;248
191;276;248
192;210;248
193;270;248
194;233;248
195;260;248
196;224;248
197;280;248
198;214;248
199;266;248
200;234;248
201;262;248
202;225;248
203;281;248
204;214;248
205;270;248
206;235;248
207;262;248
208;229;248
209;281;248
210;218;248
211;275;248
212;239;248
213;259;248
214;226;248
215;1165;252
216;224;252
217;276;252
218;236;252
219;260;252
220;225;252
221;291;252
222;202;252
223;283;252
224;235;252
225;260;252
226;224;252
227;280;252
228;216;252
229;279;252
230;207;251
231;262;252
232;229;251
233;250;251
234;214;251
235;274;251
236;207;251
237;264;251
238;225;251
239;271;251
240;218;251
241;275;251
242;205;251
243;262;251
244;226;251
245;282;251
246;214;251
247;270;251
248;231;251
249;256;251
250;223;251
251;276;251
252;211;251
253;272;251
254;233;251
255;256;251
256;220;251
257;282;251
258;212;251
259;273;251
260;236;251
261;257;251
262;221;250
263;277;251
