Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;234;234
2;230;232
3;198;220
4;209;217
5;214;217
6;227;218
7;202;216
8;216;216
9;222;216
10;197;214
11;206;214
12;216;214
13;226;215
14;204;214
15;212;214
16;227;215
17;684;242
18;208;240
19;221;239
20;229;239
21;694;260
22;225;259
23;229;257
24;202;255
25;694;273
26;254;272
27;230;270
28;208;268
29;701;283
30;228;281
31;204;279
32;212;276
33;714;290
34;233;288
35;203;286
36;212;284
37;711;295
38;206;293
39;207;291
40;221;289
41;714;299
42;205;297
43;212;295
44;225;293
45;689;302
46;212;300
47;218;298
48;231;297
49;694;305
50;222;303
51;229;302
52;203;300
53;700;308
54;222;306
55;196;304
56;213;302
57;704;309
58;232;308
59;204;306
60;214;305
61;712;311
62;208;310
63;213;308
64;224;307
65;688;313
66;207;311
67;216;310
68;230;308
69;689;314
70;213;312
71;222;311
72;200;310
73;696;315
74;222;314
75;225;312
76;385;313
77;233;312
78;201;311
79;214;310
80;218;309
81;231;308
82;206;306
83;220;305
84;226;304
85;208;303
86;211;302
87;224;301
88;200;300
89;213;299
90;219;298
91;675;302
92;208;301
93;239;301
94;686;305
95;214;304
96;222;303
97;228;302
98;682;306
99;217;305
100;225;304
101;196;303
102;687;307
103;216;306
104;235;305
105;204;304
106;691;308
107;226;307
108;234;307
109;209;306
110;699;309
111;235;309
112;207;308
113;217;307
114;699;310
115;203;309
116;213;309
117;224;308
118;712;311
119;206;310
120;221;310
121;228;309
122;679;312
123;216;311
124;226;310
125;240;310
126;692;313
127;220;312
128;234;312
129;218;311
130;692;314
131;226;313
132;204;312
133;209;312
134;694;314
135;232;314
136;214;313
137;215;312
138;707;315
139;203;314
140;216;314
141;223;313
142;707;316
143;1526;324
144;236;324
145;196;323
146;690;325
147;215;324
148;228;324
149;203;323
150;693;325
151;224;325
152;203;324
153;207;323
154;701;326
155;230;325
156;220;324
157;219;324
158;704;326
159;201;325
160;216;325
161;219;324
162;680;326
163;205;325
164;221;325
165;198;324
166;689;326
167;217;326
168;234;325
169;204;324
170;698;326
171;225;326
172;208;325
173;215;325
174;511;326
175;207;325
176;691;327
177;222;326
178;204;326
179;208;325
180;700;327
181;230;327
182;213;326
183;224;325
184;709;328
185;205;327
186;217;326
187;225;326
188;682;328
189;212;327
190;225;326
191;203;326
192;696;328
193;228;327
194;802;330
195;222;329
196;223;329
197;217;328
198;219;327
199;230;327
200;203;326
201;222;326
202;224;325
203;205;325
204;207;324
205;223;324
206;231;323
207;210;323
208;215;322
209;230;322
210;207;321
211;694;323
212;221;322
213;202;322
214;207;321
215;700;323
216;227;323
217;209;322
218;213;322
219;705;323
220;201;323
221;215;322
222;221;322
223;681;323
224;224;323
225;224;323
226;227;322
227;686;324
228;218;323
229;230;323
230;202;322
231;689;324
232;225;323
233;232;323
234;204;323
235;700;324
236;235;324
237;203;323
238;208;323
239;697;324
240;227;324
241;209;323
242;212;323
243;703;325
244;1238;328
245;225;328
246;224;327
247;202;327
248;230;327
249;227;326
250;212;326
251;219;325
252;232;325
253;207;324
254;216;324
255;223;324
256;206;323
257;210;323
258;224;322
259;229;322
260;207;321
261;219;321
262;716;323
263;208;322
264;216;322
265;227;321
266;680;323
267;210;322
268;229;322
269;225;322
270;241;321
271;218;321
272;219;321
273;223;320
274;201;320
275;209;319
276;225;319
278;2847;328
279;2783;337
280;1318;340
281;221;340
282;219;340
283;219;339
284;244;339
285;206;338
286;1599;343
287;213;342
288;207;342
289;531;343
290;231;342
291;215;342
292;219;341
293;228;341
294;204;340
295;220;340
296;228;340
297;210;339
298;217;339
299;225;338
300;197;338
301;213;337
302;222;337
303;208;337
304;208;336
305;223;336
306;232;336
307;212;335
308;221;335
309;232;334
310;208;334
311;218;334
312;220;333
313;231;333
314;227;333
315;203;332
316;216;332
317;225;331
318;212;331
319;209;331
320;222;330
321;200;330
322;215;330
323;222;329
324;201;329
325;206;328
326;221;328
327;230;328
328;208;327
329;215;327
330;227;327
331;200;326
332;214;326
333;222;326
334;676;327
335;209;326
336;222;326
337;229;326
338;688;327
339;218;327
340;234;326
341;203;326
342;696;327
343;226;327
344;203;326
345;213;326
346;700;327
347;198;327
348;211;326
349;219;326
350;676;327
351;205;327
352;218;326
353;225;326
354;686;327
355;217;327
356;226;327
357;204;326
358;687;327
359;221;327
360;199;327
361;211;326
362;698;327
363;243;327
364;210;327
365;222;326
366;703;328
367;196;327
368;209;327
369;219;327
370;706;328
371;198;327
372;217;327
373;220;327
374;679;328
375;206;327
376;218;327
377;223;327
378;681;328
379;214;327
380;227;327
381;194;327
382;683;328
383;214;327
384;227;327
385;200;327
386;689;328
387;456;328
388;230;328
389;204;327
390;236;327
391;217;327
392;218;327
393;231;326
394;202;326
395;206;326
396;228;326
397;231;325
398;210;325
399;216;325
400;235;324
401;202;324
402;214;324
403;227;324
404;202;323
405;209;323
406;220;323
407;225;323
408;208;322
409;214;322
410;227;322
411;199;321
412;218;321
413;221;321
414;232;321
415;207;320
416;218;320
417;227;320
418;217;320
419;216;320
420;232;319
421;227;319
422;227;319
423;213;319
424;215;318
425;227;318
426;203;318
427;218;318
428;223;317
429;206;317
430;209;317
431;224;317
432;198;316
433;211;316
434;215;316
435;889;317
436;216;317
437;217;317
438;222;317
439;203;316
440;210;316
441;222;316
442;225;316
443;209;315
444;234;315
445;201;315
446;211;315
447;219;315
448;201;314
449;208;314
450;219;314
451;224;314
452;202;313
453;208;313
454;227;313
455;196;313
456;211;312
457;217;312
458;707;313
459;333;313
460;217;313
461;227;313
462;682;314
463;213;313
464;225;313
465;204;313
466;696;314
467;221;314
468;202;313
469;209;313
470;708;314
471;196;314
472;211;313
473;217;313
474;679;314
475;207;314
476;227;314
477;198;313
478;688;314
479;217;314
480;233;314
481;201;314
482;695;314
483;225;314
484;206;314
485;1290;316
486;233;316
487;217;316
488;220;315
489;203;315
490;214;315
491;223;315
492;226;315
493;209;314
494;219;314
495;197;314
496;209;314
497;220;313
498;226;313
499;208;313
500;213;313
501;706;314
502;203;313
503;215;313
504;220;313
505;681;314
506;210;314
507;223;313
508;228;313
509;685;314
510;212;314
511;223;314
512;199;313
513;686;314
514;216;314
515;231;314
516;210;314
517;696;314
518;233;314
519;203;314
520;211;314
521;703;314
522;228;314
523;220;314
524;213;314
525;706;315
526;204;314
