Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;228;228
2;186;207
3;203;205
4;214;207
5;199;206
6;204;205
7;188;203
8;194;202
9;216;203
10;186;201
11;210;202
12;211;203
13;192;202
14;201;202
15;187;201
16;204;201
17;213;202
18;184;201
19;199;201
20;209;201
21;192;200
22;200;200
23;219;201
24;190;201
25;208;201
26;183;200
27;199;200
28;205;200
29;206;201
30;197;200
31;215;201
32;190;201
33;208;201
34;206;201
35;198;201
36;205;201
37;189;201
38;210;201
39;216;201
40;186;201
41;210;201
42;177;200
43;205;200
44;204;201
45;186;200
46;196;200
47;218;200
48;189;200
49;209;200
50;183;200
51;200;200
52;205;200
53;194;200
54;197;200
55;221;200
56;193;200
57;210;200
58;181;200
59;199;200
60;211;200
61;196;200
62;200;200
63;218;200
64;194;200
65;214;200
66;202;200
67;204;200
68;211;201
69;196;201
70;203;201
71;199;201
72;198;201
73;222;201
74;187;201
75;207;201
76;183;200
77;204;200
78;209;201
79;184;200
80;218;201
81;188;200
82;198;200
83;214;201
84;188;200
85;207;200
86;178;200
87;201;200
88;207;200
89;190;200
90;205;200
91;218;200
92;194;200
93;214;200
94;188;200
95;218;201
96;211;201
97;196;201
98;205;201
99;187;200
100;196;200
101;209;200
102;185;200
103;202;200
104;210;200
105;192;200
106;197;200
107;217;200
108;191;200
109;216;201
110;189;200
111;209;200
112;212;201
113;199;201
114;206;201
115;191;201
116;217;201
117;219;201
118;196;201
119;213;201
120;183;201
121;210;201
122;212;201
123;197;201
124;210;201
125;193;201
126;202;201
127;219;201
128;192;201
129;214;201
130;192;201
131;214;201
132;211;201
133;201;201
134;201;201
135;190;201
136;199;201
137;212;201
138;187;201
139;209;201
140;185;201
141;199;201
142;204;201
143;194;201
144;203;201
145;186;201
146;195;201
147;219;201
148;183;201
149;206;201
150;181;201
151;199;201
152;221;201
153;192;201
154;198;201
155;216;201
156;191;201
157;212;201
158;188;201
159;208;201
160;209;201
161;200;201
162;208;201
163;194;201
164;199;201
165;217;201
166;202;201
167;213;201
168;190;201
169;204;201
170;210;201
171;194;201
172;200;201
173;188;201
174;197;201
175;213;201
176;182;201
177;205;201
178;183;201
179;198;201
180;204;201
181;190;201
182;201;201
183;229;201
184;195;201
185;217;201
186;165;201
187;217;201
188;214;201
189;207;201
190;200;201
191;190;201
192;192;201
193;215;201
194;191;201
195;208;201
196;216;201
197;202;201
198;205;201
199;201;201
200;198;201
201;223;201
202;187;201
203;211;201
204;181;201
205;215;201
206;208;201
207;193;201
208;203;201
209;217;201
210;195;201
211;221;201
212;188;201
213;232;201
214;183;201
215;200;201
216;225;201
217;194;201
218;202;201
219;188;201
220;200;201
221;215;201
222;189;201
223;210;201
224;181;201
225;202;201
226;214;201
227;198;201
228;202;201
229;193;201
230;195;201
231;223;201
232;192;201
233;204;201
234;206;201
235;207;201
236;207;201
237;203;201
238;199;201
239;194;201
240;206;201
241;214;201
242;187;201
243;208;201
244;181;201
245;201;201
246;212;201
247;202;201
248;207;201
249;192;201
250;195;201
251;224;201
252;195;201
253;207;201
254;182;201
255;201;201
256;209;201
257;199;201
258;204;201
259;187;201
260;195;201
261;217;201
262;188;201
263;210;201
264;184;201
265;200;201
266;207;201
267;193;201
268;199;201
269;217;201
270;189;201
271;214;201
272;186;201
273;201;201
274;212;201
275;195;201
276;205;201
277;193;201
278;195;201
279;214;201
280;191;201
281;206;201
282;179;201
283;202;201
284;211;201
285;204;201
286;196;201
287;219;201
288;191;201
289;212;201
290;183;201
291;203;201
292;214;201
293;199;201
294;201;201
295;187;201
296;197;201
297;222;201
298;189;201
299;209;201
300;213;201
301;196;201
302;205;201
303;192;201
304;200;201
305;217;201
306;190;201
307;205;201
308;185;201
309;202;201
310;204;201
311;194;201
312;200;201
313;189;201
314;198;201
315;217;201
316;192;201
317;208;201
318;183;201
319;208;201
320;207;201
321;197;201
322;202;201
323;193;201
324;192;201
325;212;201
326;187;201
327;203;201
328;216;201
329;200;201
330;206;201
331;189;201
332;196;201
333;218;201
334;192;201
335;211;201
336;201;201
337;197;201
338;204;201
339;188;201
340;199;201
341;217;201
342;190;201
343;209;201
344;187;201
345;203;201
346;211;201
347;192;201
348;209;201
349;189;201
350;198;201
351;215;201
352;188;201
353;211;201
354;195;201
355;206;201
356;208;201
357;194;201
358;200;201
359;189;201
360;196;201
361;210;201
362;187;201
363;207;201
364;176;201
365;199;201
366;210;201
367;197;201
368;192;201
369;222;201
370;192;201
371;210;201
372;180;201
373;200;201
374;212;201
375;193;201
376;200;201
377;215;201
378;192;201
379;210;201
380;182;201
381;202;201
382;211;201
383;195;201
384;194;201
385;215;201
386;191;201
387;212;201
388;182;201
389;199;201
390;207;201
391;189;201
392;201;201
393;219;201
394;193;201
395;211;201
396;179;200
397;204;201
398;215;201
399;199;201
400;201;201
401;191;201
402;195;200
403;213;201
404;187;200
405;208;201
406;213;201
407;203;201
408;204;201
409;191;201
410;198;201
411;218;201
412;194;201
413;215;201
414;187;201
415;205;201
416;181;201
417;208;201
418;208;201
419;199;201
420;205;201
421;190;201
422;204;201
423;188;200
424;196;200
425;210;200
426;190;200
427;207;200
428;184;200
429;198;200
430;207;200
431;192;200
432;201;200
433;189;200
434;194;200
435;213;200
436;187;200
437;205;200
438;213;200
439;220;200
440;207;200
441;193;200
442;198;200
443;221;201
444;193;200
445;210;201
446;183;200
447;201;200
448;212;200
449;198;200
450;205;200
451;189;200
452;194;200
453;218;200
454;189;200
455;210;200
456;190;200
457;200;200
458;205;200
459;197;200
460;201;200
461;192;200
462;199;200
463;217;200
464;193;200
465;213;200
466;183;200
467;218;200
468;214;200
469;194;200
470;206;200
471;192;200
472;199;200
473;217;201
474;190;200
475;214;201
476;189;200
477;207;200
478;212;201
479;198;201
480;203;201
481;192;200
482;199;200
483;215;201
484;189;200
485;210;201
486;181;200
487;202;200
488;210;200
489;194;200
490;198;200
491;187;200
492;197;200
493;217;200
494;185;200
495;207;200
496;216;200
497;199;200
498;204;200
499;192;200
500;200;200
501;217;200
502;191;200
503;211;200
504;180;200
505;200;200
506;209;200
507;190;200
508;201;200
509;221;200
510;188;200
511;214;200
512;184;200
513;205;200
514;209;200
515;194;200
516;206;200
517;200;200
518;201;200
519;217;201
520;187;200
521;210;200
522;184;200
523;199;200
524;222;200
525;196;200
526;203;200
527;190;200
528;193;200
529;215;200
530;189;200
531;206;200
532;214;200
533;202;200
534;208;201
535;190;200
536;195;200
537;216;201
538;189;200
539;210;200
540;206;201
541;210;201
542;204;201
543;190;201
544;199;201
545;212;201
546;181;200
547;201;200
548;211;201
549;199;201
550;200;201
551;190;200
552;201;200
553;225;201
554;191;201
555;209;201
556;181;200
557;200;200
558;210;201
559;197;200
560;205;201
561;189;200
562;190;200
563;217;200
564;190;200
565;205;200
566;211;200
567;204;200
568;200;200
569;190;200
570;194;200
571;210;200
572;182;200
573;200;200
574;204;200
575;196;200
576;203;200
577;216;200
578;194;200
579;210;200
580;184;200
581;202;200
582;211;200
583;195;200
584;201;200
585;221;200
586;192;200
587;210;200
588;186;200
589;204;200
590;211;200
591;195;200
592;223;201
593;189;200
594;200;200
595;216;201
596;191;201
597;208;201
598;182;200
599;201;200
600;210;200
601;192;200
602;198;200
603;217;201
604;192;200
605;211;201
606;184;200
607;206;200
608;214;201
609;195;200
610;216;201
611;189;201
612;199;200
613;214;201
614;187;200
615;218;201
616;189;201
617;212;201
618;210;201
619;198;201
620;206;201
621;193;201
622;198;201
623;223;201
624;192;201
625;211;201
626;188;201
627;210;201
628;216;201
629;200;201
630;205;201
631;193;201
632;199;201
633;219;201
634;191;201
635;208;201
636;187;201
637;205;201
638;213;201
639;200;201
640;203;201
641;185;201
642;202;201
643;224;201
644;191;201
645;210;201
646;180;201
647;204;201
648;206;201
649;190;201
650;200;201
651;187;201
652;194;201
653;214;201
654;186;201
655;206;201
656;213;201
657;198;201
658;209;201
659;191;201
660;199;201
661;183;201
662;193;201
663;215;201
664;187;201
665;208;201
666;182;200
667;229;201
668;210;201
669;197;201
670;202;201
671;188;201
672;202;201
673;218;201
674;190;201
675;207;201
676;181;201
677;206;201
678;211;201
679;192;201
680;206;201
681;188;201
682;199;200
683;212;201
684;186;200
685;208;201
686;211;201
687;199;201
688;207;201
689;195;201
690;199;201
691;218;201
692;190;201
693;209;201
694;184;201
695;211;201
696;218;201
697;196;201
698;197;201
699;219;201
700;193;201
701;210;201
702;186;201
703;207;201
704;212;201
705;193;201
706;204;201
707;188;201
708;202;201
709;215;201
710;189;201
711;207;201
712;184;201
713;200;201
714;211;201
715;192;201
716;197;201
717;217;201
718;191;201
719;213;201
720;181;201
721;200;201
722;202;201
723;191;201
724;199;201
725;239;201
726;191;201
727;215;201
728;191;201
729;204;201
730;207;201
731;189;201
732;198;201
733;220;201
734;193;201
735;211;201
736;179;201
737;201;201
738;214;201
739;188;201
740;207;201
741;190;201
742;203;201
743;204;201
744;195;201
745;219;201
746;204;201
747;198;201
748;223;201
749;204;201
750;208;201
751;191;201
752;197;201
753;216;201
754;190;201
755;212;201
756;181;201
757;203;201
758;211;201
759;196;201
760;203;201
761;190;201
762;199;201
763;215;201
764;187;201
765;211;201
766;183;201
767;202;201
768;231;201
769;200;201
770;204;201
771;191;201
772;195;201
773;220;201
774;192;201
775;210;201
776;182;201
777;207;201
778;214;201
779;194;201
780;205;201
781;187;201
782;194;201
783;219;201
784;187;201
785;212;201
786;211;201
787;199;201
788;208;201
789;188;201
790;194;201
791;216;201
792;192;201
793;211;201
794;215;201
795;199;201
796;192;201
797;200;201
798;219;201
799;219;201
800;190;201
801;202;201
802;210;201
803;193;201
804;202;201
805;184;201
806;200;201
807;268;201
808;190;201
809;209;201
810;216;201
811;196;201
812;206;201
813;192;201
814;199;201
815;221;201
816;213;201
817;219;201
818;200;201
819;210;201
820;211;201
821;195;201
822;200;201
823;223;201
824;198;201
825;215;201
826;185;201
827;205;201
828;219;201
829;199;201
830;203;201
831;192;201
832;194;201
833;213;201
834;189;201
835;205;201
836;208;201
837;199;201
838;207;201
839;190;201
840;198;201
841;215;201
842;186;201
843;208;201
844;221;201
845;200;201
846;204;201
847;187;201
848;213;201
849;212;201
850;185;201
851;206;201
852;210;201
853;197;201
854;203;201
855;195;201
856;198;201
857;215;201
858;189;201
859;210;201
860;180;201
861;199;201
862;204;201
863;188;201
864;197;201
865;211;201
866;186;201
867;203;201
868;224;201
869;190;201
870;202;201
871;185;201
872;191;201
873;216;201
874;183;201
875;202;201
876;207;201
877;194;201
878;200;201
879;216;201
880;190;201
881;209;201
882;185;201
883;200;201
884;205;201
885;195;201
886;204;201
887;184;201
888;193;201
889;209;201
890;184;201
891;206;201
892;213;201
893;194;201
894;202;201
895;188;201
896;189;201
897;212;201
898;183;201
899;217;201
900;205;201
901;193;201
902;207;201
903;211;201
904;185;201
905;206;201
906;211;201
907;192;201
908;202;201
909;216;201
910;190;201
911;209;201
912;182;201
913;200;201
914;206;201
915;190;201
916;200;201
917;219;201
918;207;201
919;210;201
920;185;201
921;205;201
922;210;201
923;193;201
924;197;201
925;218;201
926;192;201
927;216;201
928;184;201
929;198;201
930;207;201
931;190;201
932;200;201
933;216;201
934;189;201
935;210;201
936;188;201
937;203;201
938;211;201
939;194;201
940;200;201
941;185;201
942;194;201
943;219;201
944;188;201
945;202;201
946;211;201
947;197;201
948;205;201
949;190;201
950;213;201
951;225;201
952;192;201
953;213;201
954;184;201
955;202;201
956;209;201
957;195;201
958;203;201
959;198;201
960;200;201
961;214;201
962;186;201
963;206;201
964;210;201
965;194;201
966;198;201
967;187;201
968;209;201
969;217;201
970;182;201
971;204;201
972;210;201
973;194;201
974;199;201
975;222;201
976;190;201
977;209;201
978;180;201
979;207;201
980;206;201
981;211;201
982;196;201
983;216;201
984;188;201
985;205;201
986;209;201
987;188;201
988;197;201
989;217;201
