Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;227;227
2;202;214
3;198;209
4;192;204
5;213;206
6;215;207
7;202;207
8;201;206
9;222;208
10;188;206
11;211;206
12;207;206
13;198;205
14;198;205
15;221;206
16;184;204
17;208;205
18;207;205
19;199;204
20;200;204
21;218;205
22;187;204
23;224;205
24;207;205
25;169;203
26;211;204
27;223;204
28;189;204
29;215;204
30;213;204
31;203;204
32;185;204
33;235;205
34;192;204
35;216;205
36;211;205
37;201;205
38;201;205
39;195;204
40;193;204
41;215;204
42;212;204
43;197;204
44;190;204
45;181;203
46;189;203
47;202;203
48;196;203
49;191;203
50;200;203
51;178;202
52;183;202
53;208;202
54;175;201
55;196;201
56;222;202
57;199;202
58;200;201
59;223;202
60;194;202
61;216;202
62;181;202
63;205;202
64;206;202
65;199;202
66;198;202
67;221;202
68;185;202
69;209;202
70;210;202
71;199;202
72;199;202
73;221;202
74;174;202
75;213;202
76;207;202
77;201;202
78;198;202
79;218;202
80;191;202
81;213;202
82;180;202
83;201;202
84;206;202
85;193;202
86;196;202
87;218;202
88;183;201
89;204;201
90;206;202
91;196;201
92;194;201
93;215;202
94;180;201
95;226;202
96;209;202
97;199;202
98;198;202
99;220;202
100;184;202
101;208;202
102;206;202
103;198;202
104;200;202
105;218;202
106;191;202
107;211;202
108;214;202
109;202;202
110;204;202
111;223;202
112;188;202
113;213;202
114;213;202
115;201;202
116;206;202
117;225;202
118;191;202
119;214;202
120;216;202
121;204;202
122;205;202
123;214;203
124;209;203
125;227;203
126;181;203
127;204;203
128;189;202
129;224;203
130;192;203
131;215;203
132;215;203
133;200;203
134;201;203
135;220;203
136;190;203
137;211;203
138;209;203
139;197;203
140;199;203
141;217;203
142;186;203
143;203;203
144;202;203
145;200;203
146;194;203
147;220;203
148;183;203
149;205;203
150;203;203
151;225;203
152;191;203
153;210;203
154;205;203
155;199;203
156;201;203
157;222;203
158;189;203
159;207;203
160;207;203
161;197;203
162;196;203
163;216;203
164;181;203
165;203;203
166;205;203
167;192;203
168;192;202
169;213;203
170;181;202
171;205;202
172;204;202
173;193;202
174;195;202
175;213;202
176;206;202
177;188;202
178;207;202
179;224;202
180;194;202
181;217;203
182;185;202
183;205;202
184;208;202
185;192;202
186;193;202
187;217;202
188;185;202
189;209;202
190;210;202
191;196;202
192;200;202
193;224;202
194;190;202
195;219;202
196;211;202
197;207;203
198;204;203
199;192;202
200;191;202
201;213;202
202;181;202
203;208;202
204;206;202
205;196;202
206;199;202
207;217;202
208;187;202
209;210;202
210;209;202
211;197;202
212;201;202
213;192;202
214;192;202
215;215;202
216;183;202
217;207;202
218;206;202
219;196;202
220;197;202
221;217;202
222;185;202
223;211;202
224;211;202
225;200;202
226;200;202
227;214;202
228;192;202
229;224;202
230;185;202
231;208;202
232;206;202
