Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;271;271
2;252;261
3;268;263
4;232;255
5;249;254
6;243;252
7;262;253
8;257;254
9;326;262
10;236;259
11;262;259
12;255;259
13;275;260
14;234;258
15;254;258
16;247;257
17;266;258
18;232;256
19;245;256
20;242;255
21;258;255
22;257;255
23;272;256
24;239;255
25;255;255
26;257;255
27;267;256
28;236;255
29;249;255
30;240;254
31;263;254
32;259;255
33;243;254
34;240;254
35;257;254
36;251;254
37;270;254
38;233;254
39;249;253
40;250;253
41;266;254
42;235;253
43;248;253
44;1228;275
45;273;275
46;262;275
47;243;274
48;247;274
49;261;273
50;259;273
51;241;272
52;238;272
53;262;272
54;255;271
55;240;271
56;239;270
57;257;270
58;255;270
59;246;269
60;241;269
61;255;268
62;256;268
63;242;268
64;239;267
65;258;267
66;256;267
67;242;267
68;240;266
69;257;266
70;254;266
71;269;266
72;234;265
73;253;265
74;252;265
75;267;265
76;244;265
77;254;265
78;251;265
79;271;265
80;234;264
81;251;264
82;250;264
83;270;264
84;234;264
85;258;264
86;254;263
87;265;263
88;234;263
89;258;263
90;257;263
91;310;263
92;241;263
93;257;263
94;260;263
95;1655;278
96;255;277
97;262;277
98;258;277
99;242;277
100;232;276
101;258;276
102;256;276
103;241;276
104;237;275
105;256;275
106;256;275
107;242;275
108;235;274
109;254;274
110;251;274
111;271;274
112;235;273
113;246;273
114;242;273
115;264;273
116;260;273
117;248;272
118;240;272
119;256;272
120;255;272
121;240;272
122;238;271
123;254;271
124;249;271
125;268;271
126;239;271
127;251;271
128;249;270
129;265;270
130;227;270
131;250;270
132;247;270
133;265;270
134;229;269
135;245;269
136;241;269
137;261;269
138;261;269
139;242;269
140;242;268
141;260;268
142;261;268
143;243;268
144;238;268
145;259;268
146;726;271
147;254;271
148;239;271
149;256;271
150;254;270
151;240;270
152;237;270
153;252;270
154;253;270
155;270;270
156;234;270
157;251;269
158;244;269
159;262;269
160;258;269
161;245;269
162;237;269
163;258;269
164;253;269
165;239;268
166;239;268
167;257;268
168;253;268
169;270;268
170;224;268
171;244;268
172;252;268
173;272;268
174;232;267
175;249;267
176;259;267
177;269;267
178;232;267
179;250;267
180;245;267
181;269;267
182;235;267
183;250;267
184;248;266
185;265;266
186;262;266
187;248;266
188;247;266
189;265;266
190;261;266
191;243;266
192;240;266
193;262;266
194;257;266
195;242;266
196;242;266
197;1447;272
198;264;272
199;245;271
200;238;271
201;253;271
202;251;271
203;271;271
204;235;271
205;253;271
206;252;271
207;272;271
208;236;271
209;252;270
210;248;270
211;263;270
212;254;270
213;244;270
214;243;270
215;262;270
216;252;270
217;273;270
218;235;270
219;255;270
220;251;270
221;265;269
222;230;269
223;246;269
224;242;269
225;261;269
226;263;269
227;240;269
228;237;269
229;255;269
230;245;269
231;271;269
232;229;268
233;245;268
234;243;268
235;263;268
236;260;268
237;239;268
238;237;268
239;254;268
240;252;268
241;269;268
242;232;268
243;254;268
244;250;267
245;265;267
246;231;267
247;244;267
248;1793;273
249;260;273
250;239;273
251;237;273
252;252;273
253;251;273
254;266;273
255;231;273
256;250;273
257;253;272
258;265;272
259;231;272
260;244;272
261;241;272
262;260;272
263;260;272
264;241;272
265;236;272
266;252;272
267;250;272
268;270;272
269;231;271
270;246;271
271;243;271
272;262;271
273;256;271
274;241;271
275;235;271
276;255;271
277;249;271
278;265;271
279;229;271
