Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;223;223
2;276;249
3;225;241
4;254;244
5;213;238
6;246;239
7;203;234
8;273;239
9;186;233
10;272;237
11;217;235
12;456;253
13;206;250
14;274;251
15;191;247
16;259;248
17;216;246
18;243;246
19;208;244
20;267;245
21;197;243
22;262;243
23;203;242
24;210;240
25;189;238
26;198;237
27;221;236
28;183;234
29;208;233
30;209;232
31;221;232
32;196;231
33;218;231
34;218;230
35;197;229
36;210;229
37;223;228
38;193;228
39;211;227
40;214;227
41;202;226
42;203;226
43;213;225
44;196;225
45;210;224
46;213;224
47;222;224
48;198;223
49;220;223
50;225;223
51;204;223
52;206;223
53;227;223
54;197;222
55;210;222
56;213;222
57;204;221
58;740;230
59;199;230
60;262;230
61;781;239
62;270;240
63;204;239
64;268;240
65;674;246
66;264;247
67;210;246
69;384;248
70;2029;274
71;1673;294
72;1345;309
73;281;308
74;200;307
75;260;306
76;219;305
77;253;304
78;215;303
79;245;302
80;200;301
81;707;306
82;190;305
83;263;304
84;219;303
85;219;302
86;210;301
87;233;300
88;199;299
89;222;298
90;220;297
91;204;296
92;211;295
93;192;294
94;200;293
95;218;292
96;221;292
97;201;291
98;233;290
99;197;289
100;207;288
101;218;288
102;202;287
103;221;286
104;232;286
105;192;285
106;213;284
107;215;283
108;235;283
109;198;282
110;224;282
111;235;281
112;204;280
113;206;280
114;230;279
115;202;279
116;209;278
117;215;277
118;203;277
119;209;276
120;229;276
121;195;275
122;213;275
123;219;274
124;200;274
125;222;273
126;193;273
127;204;272
128;211;271
129;199;271
130;201;270
131;218;270
132;220;270
133;208;269
134;206;269
135;227;268
136;192;268
137;205;267
138;212;267
139;200;266
140;204;266
141;216;266
142;190;265
143;209;265
144;212;264
145;192;264
146;195;263
147;211;263
148;224;263
149;205;262
150;204;262
151;228;262
152;266;262
153;211;261
154;270;261
155;196;261
156;271;261
157;218;261
158;218;260
159;215;260
160;196;260
161;204;259
162;220;259
163;193;259
164;212;258
165;215;258
166;225;258
167;216;258
168;220;258
169;198;257
170;206;257
171;229;257
172;194;256
173;218;256
174;216;256
175;204;256
176;206;255
177;224;255
178;190;255
179;213;254
180;211;254
181;191;254
182;198;254
183;223;253
184;218;253
185;200;253
186;208;253
187;221;252
188;679;255
189;209;255
190;216;254
191;199;254
192;685;256
193;216;256
194;187;256
195;212;255
196;212;255
197;227;255
198;200;255
199;214;255
200;222;254
201;204;254
202;223;254
203;197;254
204;210;254
205;219;253
206;956;257
207;220;257
208;231;256
209;202;256
210;215;256
211;213;256
212;202;256
213;205;255
214;235;255
215;196;255
216;214;255
217;214;255
218;195;254
219;202;254
220;223;254
221;224;254
222;203;254
223;230;253
224;193;253
225;208;253
226;213;253
227;204;253
228;204;252
229;224;252
230;194;252
231;217;252
232;216;252
233;205;251
234;208;251
235;229;251
236;198;251
237;220;251
238;189;251
239;212;250
240;228;250
241;195;250
242;204;250
243;224;250
244;678;251
245;208;251
246;218;251
247;202;251
248;211;251
249;200;251
250;205;250
251;223;250
252;193;250
253;210;250
254;211;250
255;214;250
256;236;250
257;199;249
258;213;249
259;223;249
260;212;249
261;216;249
262;195;249
263;201;248
264;225;248
265;196;248
266;222;248
267;215;248
268;204;248
269;208;248
270;226;248
271;197;247
272;216;247
273;222;247
274;207;247
275;210;247
276;201;247
277;198;246
278;692;248
279;226;248
280;211;248
281;213;248
282;194;248
283;219;247
284;191;247
285;206;247
286;209;247
287;231;247
288;197;247
289;220;247
290;194;246
291;200;246
292;215;246
293;226;246
294;197;246
295;217;246
296;221;246
297;213;246
298;210;246
299;230;245
300;195;245
301;224;245
302;195;245
303;202;245
304;697;246
305;198;246
306;311;246
307;222;246
308;674;248
309;210;248
310;216;248
311;197;247
312;200;247
313;222;247
314;195;247
315;209;247
316;210;247
317;202;247
318;239;247
319;198;246
320;215;246
321;217;246
322;204;246
323;208;246
324;222;246
325;196;246
326;216;246
327;221;246
328;203;245
329;203;245
330;231;245
331;193;245
332;205;245
333;214;245
334;204;245
335;209;245
336;225;245
337;195;244
338;215;244
339;704;246
340;204;246
341;209;245
342;233;245
343;196;245
344;215;245
345;228;245
346;210;245
347;210;245
348;222;245
349;215;245
350;218;245
351;196;245
352;204;244
353;225;244
354;196;244
355;228;244
356;213;244
357;199;244
358;203;244
359;220;244
360;188;244
361;208;244
362;208;243
363;221;243
364;193;243
365;217;243
366;218;243
367;197;243
368;205;243
369;227;243
370;682;244
371;222;244
372;216;244
373;205;244
374;212;244
375;228;244
376;196;244
377;214;243
378;219;243
379;200;243
380;229;243
381;195;243
382;210;243
383;217;243
384;200;243
385;208;243
386;219;243
387;187;243
388;212;242
389;220;242
390;198;242
391;198;242
392;221;242
393;226;242
394;220;242
395;206;242
396;231;242
397;204;242
398;210;242
399;220;242
400;208;242
401;688;243
402;220;243
403;189;242
404;212;242
405;553;243
406;206;243
407;209;243
408;225;243
409;195;243
410;697;244
411;220;244
412;198;244
413;205;244
414;227;244
415;216;244
416;217;243
417;207;243
418;205;243
419;228;243
420;193;243
421;210;243
422;215;243
423;216;243
424;210;243
425;221;243
426;195;243
427;210;243
428;221;243
429;200;242
430;207;242
431;229;242
432;199;242
433;210;242
434;212;242
435;204;242
436;684;243
437;218;243
438;189;243
439;212;243
440;217;243
441;200;243
442;201;243
443;294;243
444;190;242
445;688;243
446;217;243
447;199;243
448;200;243
449;215;243
450;211;243
451;212;243
452;194;243
453;197;243
454;990;244
455;236;244
456;206;244
457;209;244
458;223;244
459;198;244
460;214;244
461;216;244
462;194;244
463;206;244
464;226;244
465;198;244
466;213;244
467;219;244
468;204;243
469;206;243
470;224;243
471;216;243
472;218;243
473;198;243
474;205;243
475;226;243
476;196;243
477;214;243
478;216;243
479;197;243
480;201;243
481;224;243
482;193;242
483;206;242
484;211;242
485;202;242
486;208;242
487;217;242
488;184;242
489;211;242
490;211;242
491;225;242
492;678;243
493;216;243
494;215;243
495;197;243
496;199;242
497;216;242
498;219;242
499;196;242
500;204;242
501;226;242
502;207;242
503;213;242
504;211;242
505;269;242
506;215;242
507;259;242
508;202;242
509;266;242
510;192;242
511;254;242
512;215;242
513;246;242
514;199;242
515;266;242
516;189;242
517;249;242
518;212;242
519;273;242
520;199;242
521;700;242
522;219;242
523;247;242
524;206;242
525;710;243
526;192;243
527;254;243
528;230;243
529;679;244
530;203;244
531;268;244
532;198;244
533;696;245
534;220;245
535;309;245
536;205;245
537;707;246
538;192;245
539;250;245
540;229;245
541;682;246
542;202;246
543;268;246
544;194;246
545;699;247
546;211;247
547;244;247
548;199;247
549;230;247
550;195;247
551;202;247
552;212;246
553;200;246
554;317;247
555;222;246
556;191;246
557;210;246
558;212;246
559;197;246
560;198;246
561;220;246
562;206;246
563;208;246
564;220;246
565;192;246
566;214;246
567;216;246
568;195;246
569;202;245
570;220;245
571;221;245
572;200;245
573;208;245
574;230;245
575;197;245
576;211;245
577;215;245
578;208;245
579;209;245
580;228;245
581;189;245
582;212;245
583;697;245
584;193;245
585;201;245
586;222;245
587;195;245
588;210;245
589;228;245
590;197;245
591;202;245
