Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;193;193
2;193;193
3;202;196
4;186;193
5;194;193
6;214;197
7;183;195
8;203;196
9;177;193
10;197;194
11;204;195
12;187;194
13;188;193
14;206;194
15;182;193
16;200;194
17;186;193
18;193;193
19;192;193
20;179;192
21;189;192
22;211;193
23;182;193
24;198;193
25;206;193
26;188;193
27;198;193
28;185;193
29;186;193
30;210;193
31;180;193
32;200;193
33;174;192
34;192;192
35;202;193
36;184;192
37;187;192
38;211;193
39;184;192
40;203;193
41;171;192
42;190;192
43;194;192
44;194;192
45;207;193
46;209;193
47;179;193
48;204;193
49;180;193
50;205;193
51;204;193
52;189;193
53;202;193
54;181;193
55;183;193
56;202;193
57;180;193
58;200;193
59;203;193
60;187;193
61;197;193
62;174;192
63;187;192
64;206;193
65;182;192
66;197;192
67;208;193
68;190;193
69;198;193
70;185;193
71;188;193
72;213;193
73;199;193
74;199;193
75;182;193
76;201;193
77;205;193
78;185;193
79;201;193
80;212;193
81;190;193
82;208;193
83;178;193
84;194;193
85;204;193
86;186;193
87;193;193
88;212;193
89;184;193
90;201;193
91;176;193
92;194;193
93;195;193
94;182;193
95;210;193
96;209;193
97;184;193
98;195;193
99;202;193
100;192;193
101;208;194
102;181;193
103;186;193
104;205;193
105;170;193
106;192;193
107;204;193
108;185;193
109;192;193
110;219;193
111;181;193
112;201;193
113;176;193
114;193;193
115;198;193
116;183;193
117;192;193
118;215;193
119;183;193
120;203;193
121;176;193
122;198;193
123;207;193
124;190;193
125;189;193
126;181;193
127;183;193
128;207;193
129;194;193
130;200;193
131;198;193
132;188;193
133;194;193
134;182;193
135;190;193
136;214;193
137;181;193
138;202;193
139;174;193
140;190;193
141;202;193
142;186;193
143;193;193
144;179;193
145;191;193
146;210;193
147;181;193
148;214;193
149;177;193
150;200;193
151;200;193
152;183;193
153;187;193
154;206;193
155;181;193
156;202;193
157;187;193
158;197;193
159;203;193
160;189;193
161;192;193
162;177;193
163;190;193
164;207;193
165;181;193
166;201;193
167;172;193
168;188;193
169;197;193
170;182;193
171;189;193
172;213;193
173;181;193
174;199;193
175;174;193
176;194;193
177;201;193
178;186;193
179;186;193
180;207;193
181;184;193
182;201;193
183;176;193
184;193;193
185;205;193
186;184;193
187;195;193
188;209;193
189;185;193
190;205;193
191;171;193
192;191;193
193;199;193
194;183;193
195;194;193
196;211;193
197;185;193
198;212;193
199;177;193
200;206;193
201;195;193
