Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;229;229
2;206;217
3;179;204
4;197;202
5;196;201
6;183;198
7;168;194
8;199;194
9;208;196
10;178;194
11;216;196
12;197;196
13;169;194
14;184;193
15;191;193
16;214;194
17;177;193
18;200;193
19;191;193
20;214;194
21;179;194
22;204;194
23;198;194
24;190;194
25;187;194
26;204;194
27;173;193
28;192;193
29;177;193
30;219;193
31;170;193
32;196;193
33;190;193
34;184;192
35;176;192
36;198;192
37;201;192
38;186;192
39;202;192
40;209;193
41;204;193
42;196;193
43;192;193
44;211;193
45;162;193
46;186;193
47;187;192
48;167;192
49;225;193
50;210;193
51;221;193
52;198;194
53;187;193
54;215;194
55;168;193
56;188;193
57;187;193
58;208;193
59;176;193
60;195;193
61;193;193
62;181;193
63;179;193
64;203;193
65;198;193
66;187;193
67;185;193
68;208;193
69;169;193
70;191;192
71;191;192
72;211;193
73;166;192
74;217;193
75;194;193
76;183;193
77;180;192
78;206;193
79;201;193
80;188;193
81;184;192
82;206;193
83;171;192
84;198;192
85;191;192
86;180;192
87;180;192
88;200;192
89;185;192
90;190;192
91;184;192
92;209;192
93;175;192
94;197;192
95;193;192
96;181;192
97;180;192
98;201;192
99;198;192
100;187;192
101;182;192
102;200;192
103;200;192
104;186;192
105;182;192
106;208;192
107;170;192
108;189;192
109;192;192
110;210;192
111;175;192
112;194;192
113;189;192
114;179;192
115;178;191
116;198;191
117;197;192
118;184;191
119;182;191
120;207;191
121;169;191
122;187;191
123;184;191
124;223;191
125;167;191
126;196;191
127;210;191
128;212;192
129;174;191
130;196;191
131;192;191
132;181;191
133;180;191
134;197;191
135;194;191
136;185;191
137;183;191
138;201;191
139;189;191
140;195;191
141;192;191
142;214;191
143;179;191
144;200;191
145;197;191
146;187;191
147;185;191
148;207;191
149;205;192
150;191;192
151;190;192
152;212;192
153;161;191
154;203;192
155;207;192
156;218;192
157;177;192
158;203;192
159;196;192
160;161;192
161;184;192
162;209;192
163;202;192
164;188;192
165;175;192
166;246;192
167;192;192
168;202;192
169;190;192
170;199;192
171;174;192
172;182;192
173;220;192
174;188;192
175;184;192
176;206;192
177;217;192
178;195;192
179;189;192
180;209;192
181;159;192
182;204;192
183;195;192
184;184;192
185;181;192
186;202;192
187;182;192
188;193;192
189;219;192
190;206;192
191;201;192
192;190;192
193;188;192
194;210;192
195;177;192
196;199;192
197;194;192
198;183;192
199;180;192
200;204;192
201;204;192
202;188;192
203;173;192
204;200;192
205;179;192
206;224;192
207;199;192
208;210;192
209;175;192
210;198;192
211;218;192
212;192;192
213;187;192
214;210;192
215;175;192
216;194;192
217;193;192
218;182;192
219;178;192
220;200;192
221;200;192
222;187;192
223;185;192
224;207;192
225;171;192
226;197;192
227;221;192
228;197;192
229;202;192
230;208;193
231;169;192
232;189;192
233;185;192
234;212;192
235;174;192
236;198;192
237;195;192
238;181;192
239;234;193
240;209;193
241;173;192
242;197;193
243;195;193
244;183;192
245;181;192
246;207;192
247;166;192
248;186;192
249;185;192
250;210;192
251;174;192
252;197;192
253;193;192
254;212;192
255;175;192
256;201;192
257;197;192
258;184;192
259;181;192
260;205;192
261;169;192
262;193;192
263;190;192
264;209;192
265;175;192
266;198;192
267;196;192
268;185;192
269;184;192
270;203;192
271;173;192
272;194;192
273;191;192
274;214;192
275;176;192
276;199;192
277;199;192
278;300;193
279;195;193
280;195;193
281;183;193
282;200;193
283;192;193
284;179;193
285;178;193
286;202;193
287;199;193
288;187;193
289;181;193
290;208;193
291;170;192
292;193;192
293;189;192
294;212;193
295;174;192
296;201;192
297;198;193
298;187;192
299;182;192
300;204;192
301;171;192
302;192;192
303;189;192
304;212;192
305;179;192
306;200;192
307;196;192
308;183;192
