Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1;249;249
2;220;234
3;236;235
4;230;233
5;216;230
6;211;227
7;230;227
8;224;227
9;214;225
10;214;224
11;230;224
12;213;223
13;239;225
14;204;223
15;225;223
16;221;223
17;238;224
18;200;223
19;220;222
20;217;222
21;235;223
22;231;223
23;220;223
24;215;223
25;235;223
26;231;223
27;216;223
28;234;223
29;239;224
30;232;224
31;216;224
32;211;223
33;230;224
34;226;224
35;214;223
36;209;223
37;233;223
38;226;223
39;242;224
40;210;223
41;230;224
42;227;224
43;212;223
44;208;223
45;227;223
46;226;223
47;211;223
48;208;223
49;229;223
50;226;223
51;246;223
52;208;223
53;229;223
54;221;223
55;244;223
56;206;223
57;223;223
58;223;223
59;224;223
60;204;223
61;226;223
62;219;223
63;237;223
64;202;223
65;221;222
66;221;222
67;238;223
68;201;222
69;217;222
70;217;222
71;238;222
72;201;222
73;218;222
74;216;222
75;234;222
76;199;222
77;218;222
78;217;222
79;245;222
80;233;222
81;225;222
82;216;222
83;239;222
84;228;222
85;218;222
86;213;222
87;233;222
88;227;222
89;214;222
90;318;223
91;232;223
92;232;223
93;215;223
94;211;223
95;230;223
96;225;223
97;247;224
98;206;223
99;228;223
100;222;223
101;239;224
102;203;223
103;223;223
104;219;223
105;237;223
106;232;223
107;218;223
108;216;223
109;235;223
110;224;223
111;216;223
112;210;223
113;232;223
114;228;223
115;222;223
116;211;223
117;229;223
118;225;223
119;213;223
120;208;223
121;231;223
122;216;223
123;237;223
124;206;223
125;228;223
126;229;223
127;245;223
128;208;223
129;226;223
130;242;223
131;246;223
132;206;223
133;224;223
134;221;223
135;243;223
136;202;223
137;222;223
138;221;223
139;238;223
140;228;223
141;222;223
142;218;223
143;237;223
144;231;223
145;216;223
146;210;223
147;229;223
148;226;223
149;213;223
150;210;223
151;230;223
152;223;223
153;242;223
154;208;223
155;225;223
156;221;223
157;242;223
158;205;223
159;224;223
160;218;223
161;238;223
162;205;223
163;218;223
164;215;223
165;237;223
166;235;223
167;221;223
168;217;223
169;238;223
170;233;223
171;219;223
172;220;223
173;237;223
174;200;223
175;219;223
176;218;223
177;235;223
178;202;223
179;219;223
180;216;223
181;235;223
182;234;223
183;217;223
184;215;223
185;232;223
186;232;223
187;216;223
188;215;223
189;234;223
190;228;223
191;224;223
192;211;223
193;235;223
194;228;223
195;213;223
196;208;223
197;229;223
198;230;223
199;217;223
200;209;223
201;229;223
202;226;223
203;213;223
204;213;223
205;232;223
206;227;223
207;216;223
208;210;223
209;229;223
210;227;223
211;214;223
212;211;223
213;230;223
214;227;223
215;212;223
216;209;223
217;230;223
218;227;223
219;214;223
220;212;223
221;231;223
222;227;223
223;216;223
224;211;223
225;231;223
226;229;223
227;214;223
228;209;223
229;231;223
230;231;223
231;214;223
232;1051;226
233;250;226
234;234;226
235;219;226
236;218;226
237;240;226
238;233;226
239;217;226
240;216;226
241;254;226
242;203;226
243;227;226
244;220;226
245;242;226
246;206;226
247;226;226
248;219;226
249;238;226
250;201;226
251;223;226
252;217;226
253;238;226
254;200;226
255;221;226
256;213;226
257;233;226
258;230;226
259;216;226
260;212;226
261;233;226
262;228;226
263;214;226
264;206;226
265;229;226
266;226;226
267;213;226
268;199;226
269;230;226
270;222;226
271;246;226
272;209;226
273;230;226
274;229;226
275;214;226
276;214;226
277;231;226
278;230;226
279;216;226
280;213;226
281;232;226
282;229;226
283;215;226
284;230;226
285;234;226
286;227;226
287;213;226
288;211;226
289;226;226
290;225;226
291;230;226
292;212;225
293;234;225
294;232;226
295;217;225
296;213;225
297;234;225
298;232;225
299;217;225
300;214;225
301;233;225
302;233;225
303;217;225
304;213;225
305;235;225
306;228;225
307;218;225
308;213;225
309;232;225
310;230;225
311;215;225
312;209;225
313;231;225
314;230;225
315;206;225
316;213;225
317;234;225
318;233;225
319;214;225
320;214;225
321;233;225
322;233;225
323;216;225
324;212;225
325;230;225
326;229;225
327;217;225
328;213;225
329;228;225
330;225;225
331;218;225
332;200;225
333;234;225
334;229;225
335;222;225
336;213;225
337;242;225
338;232;225
339;216;225
340;211;225
341;243;225
342;238;225
343;223;225
344;207;225
345;345;225
346;310;226
347;308;226
348;278;226
349;345;226
350;212;226
351;224;226
352;220;226
353;246;226
354;206;226
355;226;226
356;223;226
357;243;226
358;206;226
359;225;226
360;225;226
361;241;226
362;204;226
363;226;226
364;227;226
365;243;226
366;203;226
367;227;226
368;220;226
369;244;226
370;209;226
371;226;226
372;222;226
373;243;226
374;209;226
375;226;226
376;221;226
377;241;226
378;204;226
379;223;226
380;221;226
381;239;226
382;202;226
383;218;226
384;220;226
385;237;226
386;215;226
387;227;226
388;216;226
389;237;226
390;235;226
391;225;226
392;219;226
393;238;226
394;236;226
395;219;226
396;216;226
397;237;226
398;233;226
399;218;226
400;214;226
401;236;226
402;233;226
403;216;226
404;213;226
405;233;226
406;229;226
407;215;226
408;214;226
409;233;226
410;230;226
411;220;226
412;218;226
413;240;226
414;235;226
415;221;226
416;215;226
417;234;226
418;233;226
419;224;226
420;217;226
421;233;226
422;233;226
423;217;226
424;216;226
425;238;226
426;233;226
427;218;226
428;214;226
429;233;226
430;230;226
431;221;226
432;218;226
433;234;226
434;230;226
435;217;226
436;215;226
437;237;226
438;232;226
439;221;226
440;215;226
441;243;226
442;237;226
443;223;226
444;217;226
445;236;226
446;203;226
447;222;226
448;221;226
449;236;226
450;235;226
451;217;226
452;215;226
453;235;226
454;231;226
455;218;226
456;216;226
457;238;226
458;205;226
459;223;226
460;220;226
461;244;226
462;206;226
463;226;226
464;224;226
465;243;226
466;205;226
467;228;226
468;224;226
469;243;226
470;208;226
471;225;226
472;223;226
473;245;226
474;211;226
475;229;226
476;228;226
477;246;226
478;209;226
479;234;226
480;228;226
481;213;226
482;214;226
483;232;226
484;230;226
485;215;226
486;212;226
487;232;226
488;982;227
489;238;227
490;218;227
491;240;227
492;230;227
493;224;227
494;216;227
495;242;227
496;234;227
497;220;227
498;217;227
499;238;227
500;203;227
501;226;227
502;219;227
503;239;227
504;204;227
505;227;227
506;226;227
507;214;227
508;213;227
509;231;227
510;227;227
511;214;227
512;213;227
513;231;227
514;227;227
515;213;227
516;213;227
517;234;227
518;228;227
519;213;227
520;208;227
521;236;227
522;232;227
523;219;227
524;204;227
525;226;227
526;217;227
527;204;227
528;200;227
529;217;227
530;215;227
531;220;227
532;213;227
533;236;227
534;231;227
535;215;227
536;214;227
537;230;227
538;227;227
539;245;227
540;207;227
541;312;227
542;223;227
543;247;227
544;207;227
545;225;227
546;223;227
547;241;227
548;204;227
549;222;227
550;218;227
551;236;227
552;233;227
553;220;227
554;218;227
555;238;227
556;235;227
557;218;227
558;217;227
559;239;227
560;235;227
561;218;227
562;216;227
563;238;227
564;233;227
565;219;227
566;215;227
567;234;227
568;231;227
569;219;227
570;215;227
571;223;227
572;231;227
573;216;227
574;212;227
575;232;227
576;227;227
577;211;227
578;207;227
579;229;227
580;224;227
581;242;227
582;203;227
583;221;227
584;222;227
585;240;227
586;202;227
587;222;227
588;216;227
589;238;227
590;203;227
591;227;227
592;216;227
593;237;227
594;232;227
595;220;227
596;219;227
597;241;227
598;235;227
599;222;227
600;215;227
601;237;227
602;233;227
603;216;227
604;213;227
605;236;227
606;232;227
607;219;227
608;212;227
609;234;227
610;230;227
611;220;227
612;214;227
613;235;227
614;233;227
615;217;227
616;213;227
617;236;227
618;231;227
619;216;227
620;212;227
621;229;227
622;223;227
623;213;226
624;211;226
625;233;226
626;228;226
627;213;226
628;210;226
629;230;226
630;224;226
631;244;226
632;209;226
633;230;226
634;228;226
635;245;226
636;206;226
637;227;226
638;225;226
639;244;226
640;208;226
641;226;226
642;237;226
643;245;226
644;209;226
645;224;226
646;219;226
647;244;226
648;206;226
649;224;226
650;221;226
651;241;226
652;203;226
653;223;226
654;220;226
655;238;226
656;201;226
657;222;226
658;220;226
659;241;226
660;202;226
661;223;226
662;218;226
663;240;226
664;202;226
665;224;226
666;220;226
667;240;226
668;203;226
669;226;226
670;221;226
671;239;226
672;202;226
673;220;226
674;223;226
675;242;226
676;206;226
677;226;226
678;221;226
679;242;226
680;207;226
681;230;226
682;226;226
683;244;226
684;208;226
685;233;226
686;227;226
687;214;226
688;207;226
689;231;226
690;226;226
691;210;226
692;222;226
693;682;227
694;227;227
695;245;227
696;206;227
697;224;227
698;221;227
699;239;227
700;206;227
701;226;227
702;221;227
703;237;227
704;203;227
705;223;227
706;221;227
707;238;227
708;200;227
709;226;227
710;219;227
711;237;227
712;201;227
713;222;227
714;215;227
715;236;227
716;201;227
717;218;227
718;215;227
719;232;227
720;233;227
721;216;227
722;216;227
723;232;227
724;227;227
725;216;227
726;215;227
727;235;227
728;228;227
729;212;227
730;208;226
731;228;226
732;226;226
733;211;226
734;206;226
735;223;226
736;221;226
737;242;226
738;205;226
739;225;226
740;223;226
741;239;226
742;225;226
743;235;226
744;1049;228
745;259;228
746;208;228
747;225;228
748;221;228
749;240;228
750;204;228
751;224;228
752;220;228
753;241;228
754;205;227
755;223;227
756;220;227
757;239;227
758;204;227
759;225;227
760;222;227
761;241;227
762;203;227
763;227;227
764;221;227
765;242;227
766;206;227
767;221;227
768;219;227
769;241;227
770;205;227
771;228;227
772;220;227
773;240;227
774;203;227
775;223;227
776;216;227
777;242;227
778;202;227
779;226;227
780;210;227
781;241;227
782;205;227
783;225;227
784;222;227
785;239;227
786;201;227
787;225;227
788;217;227
789;237;227
790;233;227
791;217;227
792;231;227
793;237;227
794;232;227
795;218;227
796;226;227
797;239;227
798;232;227
799;219;227
800;213;227
801;234;227
802;233;227
803;219;227
804;216;227
805;233;227
806;233;227
807;216;227
808;217;227
809;233;227
810;230;227
811;215;227
812;214;227
813;232;227
814;226;227
815;242;227
816;203;227
817;228;227
818;222;227
819;238;227
820;200;227
821;220;227
822;219;227
823;237;227
824;235;227
825;218;227
826;219;227
827;224;227
828;201;227
829;222;227
830;213;227
831;231;227
832;229;227
833;217;227
834;210;227
835;227;227
836;226;227
837;212;227
838;212;227
839;228;227
840;227;227
841;210;227
842;218;227
843;232;227
844;225;227
845;245;227
846;210;227
847;241;227
848;223;227
849;245;227
850;204;227
851;221;227
852;218;227
853;240;227
854;232;227
855;219;227
856;214;227
857;234;227
858;230;227
859;214;227
860;208;227
861;231;227
862;221;227
863;242;227
864;201;227
865;220;227
866;219;227
867;238;227
868;201;227
869;218;227
870;215;227
871;235;227
872;229;227
873;218;227
874;208;227
875;228;227
876;222;227
877;211;227
878;204;227
879;225;227
880;215;227
881;236;227
882;199;227
883;218;227
884;215;227
885;233;227
886;227;227
887;212;227
888;209;227
889;226;227
890;225;227
891;241;227
892;225;227
893;231;227
894;221;227
895;240;227
896;203;227
897;222;227
898;1035;228
899;252;228
900;230;228
901;215;228
902;210;228
903;232;228
904;227;228
905;212;228
906;206;228
907;224;228
908;220;227
909;243;228
910;203;227
911;220;227
912;216;227
913;237;227
914;201;227
915;220;227
916;213;227
917;234;227
918;228;227
919;216;227
920;210;227
921;227;227
922;222;227
923;243;227
924;205;227
925;227;227
926;220;227
927;239;227
928;203;227
929;219;227
930;209;227
931;233;227
932;229;227
933;217;227
934;213;227
935;230;227
936;223;227
937;244;227
938;209;227
939;227;227
940;223;227
941;242;227
942;218;227
943;229;227
944;223;227
945;243;227
946;203;227
947;222;227
948;221;227
949;438;227
950;204;227
951;225;227
952;218;227
953;238;227
954;202;227
955;223;227
956;215;227
957;236;227
958;232;227
959;218;227
960;214;227
961;233;227
962;227;227
963;214;227
964;212;227
965;231;227
966;227;227
967;213;227
968;213;227
969;229;227
970;226;227
971;210;227
972;206;227
973;227;227
974;225;227
975;244;227
976;207;227
977;223;227
978;221;227
979;243;227
980;204;227
981;224;227
982;222;227
983;239;227
984;202;227
985;221;227
986;218;227
987;236;227
988;200;227
989;225;227
990;209;227
991;232;227
992;253;227
993;225;227
994;218;227
995;238;227
996;203;227
997;220;227
998;214;227
999;236;227
1000;230;227
1001;219;227
1002;215;227
1003;233;227
1004;234;227
1005;217;227
1006;215;227
1007;235;227
1008;230;227
1009;215;227
1010;212;227
1011;232;227
1012;231;227
1013;215;227
1014;209;227
1015;227;227
1016;225;227
1017;215;227
1018;209;227
1019;227;227
1020;222;227
1021;243;227
1022;211;227
1023;227;227
1024;220;227
1025;238;227
1026;205;227
1027;225;227
1028;223;227
1029;243;227
1030;210;227
1031;229;227
1032;226;227
1033;215;227
1034;215;227
1035;230;227
1036;215;227
1037;215;227
1038;213;227
1039;233;227
1040;229;227
1041;213;227
1042;208;227
1043;235;227
1044;229;227
1045;217;227
1046;209;227
1047;231;227
1048;225;227
1049;212;227
1050;210;227
1051;226;227
1052;236;227
1053;247;227
1054;210;227
1055;227;227
1056;227;227
1057;211;227
1058;210;227
1059;232;227
1060;235;227
1061;220;227
1062;216;227
1063;235;227
1064;232;227
1065;217;227
1066;219;227
1067;236;227
1068;232;227
1069;220;227
1070;217;227
1071;239;227
1072;204;227
1073;220;227
1074;216;227
1075;237;227
1076;206;227
1077;226;227
1078;221;227
1079;240;227
1080;201;227
1081;224;227
1082;224;227
1083;228;227
1084;205;227
1085;226;227
1086;223;227
1087;246;227
1088;208;227
1089;225;227
1090;223;227
1091;241;227
1092;204;227
1093;233;227
1094;223;227
1095;242;227
1096;205;227
1097;226;227
1098;224;227
1099;242;227
1100;204;227
1101;227;227
1102;224;227
1103;249;227
1104;208;227
1105;228;227
1106;223;227
1107;245;227
1108;207;227
1109;225;227
1110;224;227
1111;215;227
1112;212;227
1113;232;227
1114;230;227
1115;218;227
1116;214;227
1117;240;227
1118;201;227
1119;223;227
1120;219;227
1121;242;227
1122;206;227
1123;227;227
1124;222;227
1125;242;227
1126;207;227
1127;230;227
1128;226;227
1129;210;227
1130;211;227
1131;230;227
1132;229;227
1133;216;227
1134;209;227
1135;233;227
1136;231;227
1137;221;227
1138;221;227
1139;239;227
1140;201;227
1141;224;227
1142;219;227
1143;258;227
1144;205;227
1145;227;227
1146;224;227
1147;217;227
1148;212;227
1149;233;227
1150;230;227
1151;218;227
1152;218;227
1153;236;227
1154;253;227
1155;227;227
1156;222;227
1157;242;227
1158;206;227
1159;225;227
1160;225;227
1161;247;227
1162;211;227
1163;230;227
1164;226;227
1165;214;227
1166;213;227
1167;233;227
1168;230;227
1169;218;227
1170;216;227
1171;240;227
1172;206;227
1173;223;227
1174;222;227
1175;239;227
1176;205;227
1177;229;227
1178;228;227
1179;246;227
1180;207;227
1181;235;227
1182;233;227
1183;222;227
1184;219;227
1185;235;227
1186;202;227
1187;222;227
1188;224;227
1189;239;227
1190;208;227
1191;227;227
1192;225;226
1193;229;227
1194;213;226
1195;238;226
1196;231;227
1197;221;226
1198;220;226
1199;239;227
1200;201;226
1201;221;226
1202;220;226
1203;242;226
1204;207;226
1205;527;227
1206;231;227
1207;216;227
1208;211;227
1209;235;227
1210;228;227
1211;214;227
1212;212;227
1213;234;227
1214;232;227
1215;221;227
1216;216;227
1217;235;227
1218;233;227
1219;221;227
1220;216;227
1221;238;227
1222;232;227
1223;220;227
1224;217;227
1225;241;227
1226;235;227
1227;218;227
1228;218;227
1229;237;227
1230;232;227
1231;219;227
1232;215;227
1233;235;227
1234;199;227
1235;219;227
1236;217;227
1237;232;227
1238;206;227
1239;226;227
1240;219;227
1241;235;227
1242;201;227
1243;234;227
1244;227;227
1245;246;227
1246;207;227
1247;226;227
1248;225;227
1249;248;227
1250;209;227
1251;228;227
1252;225;227
1253;242;227
1254;211;227
1255;231;227
1256;224;227
1257;243;227
1258;210;227
1259;231;227
1260;227;227
1261;249;227
1262;212;227
1263;228;227
1264;226;227
1265;213;227
1266;212;227
1267;230;227
1268;224;227
1269;245;227
1270;214;227
1271;232;227
1272;230;227
1273;214;227
1274;213;227
1275;231;227
1276;230;227
1277;218;227
1278;214;227
1279;233;227
1280;231;227
1281;216;227
1282;213;227
1283;233;227
1284;227;227
1285;214;227
1286;213;227
1287;232;227
1288;224;227
1289;246;227
1290;208;227
1291;229;227
1292;217;227
1293;249;227
1294;206;227
1295;227;227
1296;223;227
1297;244;227
1298;206;227
1299;229;227
1300;222;227
1301;246;227
1302;209;227
1303;235;227
1304;224;227
1305;248;227
1306;214;227
1307;232;227
1308;411;227
1309;218;227
1310;213;227
1311;236;227
1312;233;227
1313;217;227
1314;213;227
1315;238;227
1316;235;227
1317;221;227
1318;214;227
1319;234;227
1320;231;227
1321;221;227
1322;218;227
1323;234;227
1324;219;227
1325;221;227
1326;217;227
1327;240;227
1328;204;227
1329;215;227
1330;221;227
1331;230;227
1332;206;227
1333;215;227
1334;277;227
1335;217;227
1336;194;227
1337;282;227
1338;399;227
1339;294;227
1340;428;227
1341;220;227
1342;219;227
1343;238;227
1344;203;227
1345;212;227
1346;288;227
1347;229;227
1348;202;227
1349;211;227
1350;217;227
1351;226;227
1352;200;227
1353;213;227
1354;276;227
1355;226;227
1356;291;227
1357;208;227
1358;215;227
1359;224;227
1360;286;227
1361;204;227
1362;215;227
1363;225;227
1364;291;227
1365;204;227
1366;213;227
1367;226;227
1368;290;227
1369;201;227
1370;212;227
1371;219;227
1372;279;227
1373;233;227
1374;206;227
1375;212;227
1376;282;227
1377;224;227
1378;202;227
1379;209;227
1380;216;227
1381;220;227
1382;287;227
1383;207;227
1384;213;227
1385;221;227
1386;284;227
1387;202;227
1388;207;227
1389;218;227
1390;279;227
1391;229;227
1392;203;227
1393;226;227
1394;277;227
1395;228;227
1396;204;227
1397;198;227
1398;206;227
1399;223;227
1400;292;227
1401;203;227
1402;213;227
1403;220;227
1404;285;227
1405;204;227
1406;210;227
1407;216;227
1408;278;227
1409;1118;228
1410;283;228
1411;217;228
1412;279;228
1413;232;228
1414;212;228
1415;218;228
1416;277;228
1417;236;228
1418;207;228
1419;216;228
1420;283;228
1421;205;228
1422;208;228
1423;218;228
1424;280;228
1425;205;228
1426;209;228
1427;220;228
1428;295;228
1429;203;228
1430;209;228
1431;219;228
1432;283;228
1433;235;228
1434;209;228
1435;214;228
1436;279;228
1437;234;228
1438;208;228
1439;217;228
1440;283;228
1441;228;228
1442;204;228
1443;221;228
1444;218;228
1445;225;228
1446;287;228
1447;206;228
1448;214;228
1449;224;228
1450;290;228
1451;204;228
1452;210;228
1453;221;228
1454;289;228
1455;204;228
1456;210;228
1457;220;228
1458;290;228
1459;236;228
1460;210;228
1461;233;228
1462;241;228
1463;235;228
1464;217;228
1465;212;228
1466;236;228
1467;229;228
1468;215;228
1469;208;228
1470;228;228
1471;223;228
1472;242;228
1473;205;228
1474;224;228
1475;221;228
1476;240;228
1477;205;228
1478;224;228
1479;219;228
1480;239;228
1481;201;228
1482;221;228
1483;219;228
1484;240;228
1485;203;228
1486;215;228
1487;216;228
